Date,Alemania,Sudáfrica,España
2021-01-24 00:00:00+00:00,2134936,1412986,2499560
2021-01-25 00:00:00+00:00,2141665,1417537,2593382
2021-01-26 00:00:00+00:00,2148077,1423578,2629817
2021-01-27 00:00:00+00:00,2161275,1430648,2670102
2021-01-28 00:00:00+00:00,2178828,1437798,2705001
2021-01-29 00:00:00+00:00,2192850,1443939,2743119
2021-01-30 00:00:00+00:00,2205171,1449236,2743119
2021-01-31 00:00:00+00:00,2216363,1453761,2743119
2021-02-01 00:00:00+00:00,2221971,1456309,2822805
2021-02-02 00:00:00+00:00,2228085,1458958,2851869
2021-02-03 00:00:00+00:00,2237790,1463016,2883465
2021-02-04 00:00:00+00:00,2252001,1466767,2913425
2021-02-05 00:00:00+00:00,2264909,1470516,2941990
2021-02-06 00:00:00+00:00,2275394,1473700,2941990
2021-02-07 00:00:00+00:00,2284010,1476135,2941990
2021-02-08 00:00:00+00:00,2288545,1477511,2989085
2021-02-09 00:00:00+00:00,2291924,1479253,3005487
2021-02-10 00:00:00+00:00,2299996,1482412,3023601
2021-02-11 00:00:00+00:00,2310233,1484900,3041454
2021-02-12 00:00:00+00:00,2320093,1487681,3056035
2021-02-13 00:00:00+00:00,2328447,1490063,3056035
2021-02-14 00:00:00+00:00,2334561,1491807,3056035
2021-02-15 00:00:00+00:00,2338987,1492909,3086286
2021-02-16 00:00:00+00:00,2342843,1494119,3096343
2021-02-17 00:00:00+00:00,2350399,1496439,3107172
2021-02-18 00:00:00+00:00,2360606,1498766,3121687
2021-02-19 00:00:00+00:00,2369719,1500677,3133122
2021-02-20 00:00:00+00:00,2378883,1502367,3133122
2021-02-21 00:00:00+00:00,2386559,1503796,3133122
2021-02-22 00:00:00+00:00,2390928,1504588,3153971
2021-02-23 00:00:00+00:00,2394811,1505586,3161432
2021-02-24 00:00:00+00:00,2402818,1507448,3170644
2021-02-25 00:00:00+00:00,2414687,1509124,3180212
2021-02-26 00:00:00+00:00,2424684,1510778,3188553
2021-02-27 00:00:00+00:00,2434446,1512225,3188553
2021-02-28 00:00:00+00:00,2442336,1513393,3188553
2021-03-01 00:00:00+00:00,2447068,1513959,3204531
2021-03-02 00:00:00+00:00,2451011,1514815,3130184
2021-03-03 00:00:00+00:00,2460030,1516262,3136321
2021-03-04 00:00:00+00:00,2471942,1517666,3142358
2021-03-05 00:00:00+00:00,2482522,1518979,3149012
2021-03-06 00:00:00+00:00,2492079,1520206,3149012
2021-03-07 00:00:00+00:00,2500182,1521068,3149012
2021-03-08 00:00:00+00:00,2505193,1521706,3160970
2021-03-09 00:00:00+00:00,2509445,1522697,3164982
2021-03-10 00:00:00+00:00,2518591,1524174,3172101
2021-03-11 00:00:00+00:00,2532947,1525648,3178356
2021-03-12 00:00:00+00:00,2545781,1526873,3183704
2021-03-13 00:00:00+00:00,2558455,1528414,3183704
2021-03-14 00:00:00+00:00,2569245,1529420,3183704
2021-03-15 00:00:00+00:00,2575849,1530033,3195062
2021-03-16 00:00:00+00:00,2581329,1530966,3200024
2021-03-17 00:00:00+00:00,2594764,1532497,3206116
2021-03-18 00:00:00+00:00,2612268,1533961,3212332
2021-03-19 00:00:00+00:00,2629750,1535423,3212332
2021-03-20 00:00:00+00:00,2645783,1536801,3212332
2021-03-21 00:00:00+00:00,2659516,1537852,3212332
2021-03-22 00:00:00+00:00,2667225,1538451,3228803
2021-03-23 00:00:00+00:00,2674710,1538961,3234319
2021-03-24 00:00:00+00:00,2690523,1540009,3234319
2021-03-25 00:00:00+00:00,2713180,1541563,3247738
2021-03-26 00:00:00+00:00,2734753,1543079,3255324
2021-03-27 00:00:00+00:00,2755225,1544466,3255324
2021-03-28 00:00:00+00:00,2772401,1545431,3255324
2021-03-29 00:00:00+00:00,2782273,1545979,3270825
2021-03-30 00:00:00+00:00,2791822,1546735,3275819
2021-03-31 00:00:00+00:00,2808873,1548157,3284353
2021-04-01 00:00:00+00:00,2833173,1549451,3291394
2021-04-02 00:00:00+00:00,2855061,1550724,3291394
2021-04-03 00:00:00+00:00,2873190,1551501,3300965
2021-04-04 00:00:00+00:00,2885386,1551964,3300965
2021-04-05 00:00:00+00:00,2893883,1552416,3311325
2021-04-06 00:00:00+00:00,2900768,1552853,3317948
2021-04-07 00:00:00+00:00,2910445,1553609,3326736
2021-04-08 00:00:00+00:00,2930852,1554975,3336637
2021-04-09 00:00:00+00:00,2956316,1556242,3347512
2021-04-10 00:00:00+00:00,2980413,1557527,3347512
